station_id,station_name,lat,lng,corridor,corridor_type,station_role,is_terminal,is_interchange,station_importance,busy_factor,route_overlap_count,transfer_score,land_use_type,near_market,near_business_district,timestamp_utc,hour,day_of_week,is_weekend,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,traffic_confidence,traffic_pressure,temperature_2m,precipitation,rain,cloud_cover,crowd_score,label
onike,Onike,6.509512,3.384132,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:25:42.076836+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
palmgrove,Palmgrove,6.541618,3.3674,General,secondary,interchange,0,1,3,0.55,3,5,mixed,0,0,2026-03-26T00:25:44.833427+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.20900000000000002,flowing
oshodi_terminal,Oshodi Terminal,6.557,3.35,General,primary,terminal,1,1,5,0.9,3,5,mixed,0,0,2026-03-26T06:22:46.427607+00:00,7,3,0,69.0,69.0,694.0,694.0,1.0,0.0,27.8,0.0,0.0,74.0,0.626,moderate
mile_2,Mile 2,6.4698,3.3023,General,primary,terminal,1,1,5,0.85,3,5,market,1,0,2026-03-26T06:22:50.179317+00:00,7,3,0,54.0,61.0,1179.0,1044.0,0.875072,0.11475409836065575,27.9,0.0,0.0,74.0,0.7025409836065574,heavy
ikeja_under_bridge,Ikeja Under Bridge,6.5958,3.3403,General,primary,interchange,0,1,4,0.6,3,5,business,0,1,2026-03-26T06:22:52.692058+00:00,7,3,0,12.0,29.0,21.0,9.0,0.94,0.5862068965517242,26.9,0.0,0.0,79.0,0.6606896551724138,moderate
ojota,Ojota,6.5952,3.3831,General,primary,interchange,0,1,4,0.7,3,5,mixed,0,0,2026-03-26T06:22:54.965051+00:00,7,3,0,41.0,41.0,28.0,28.0,1.0,0.0,27.0,0.0,0.0,79.0,0.482,moderate
berger,Berger,6.6349,3.3782,General,primary,interchange,0,1,3,0.55,3,5,mixed,0,0,2026-03-26T06:22:57.321386+00:00,7,3,0,73.0,73.0,1264.0,1264.0,1.0,0.0,27.1,0.0,0.0,79.0,0.449,moderate
cms_marina,CMS Marina,6.4505,3.3958,General,primary,terminal,1,1,2,0.4,3,5,business,0,1,2026-03-26T06:23:00.275512+00:00,7,3,0,59.0,77.0,1183.0,906.0,0.997893,0.23376623376623373,27.9,0.0,0.0,74.0,0.6321038961038962,moderate
johnson_street,Johnson Street,6.54318,3.377831,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T06:23:02.907173+00:00,7,3,0,71.0,71.0,330.0,330.0,1.0,0.0,27.9,0.0,0.0,74.0,0.278,flowing
abule_oja,Abule Oja,6.517238,3.38274,General,local,standard,0,0,3,0.48,1,2,market,1,0,2026-03-26T06:23:05.308843+00:00,7,3,0,59.0,77.0,1183.0,906.0,0.997893,0.23376623376623373,27.9,0.0,0.0,74.0,0.3897038961038961,flowing
spencer_bus_station,Spencer Bus Station,6.502029100000001,3.377223,General,local,terminal,1,0,3,0.45,3,5,mixed,0,0,2026-03-26T06:23:08.304925+00:00,7,3,0,59.0,77.0,1183.0,906.0,0.997893,0.23376623376623373,27.9,0.0,0.0,74.0,0.503103896103896,moderate
iyana_oworo,Iyana Oworo,6.546217,3.3980625,General,local,interchange,0,1,3,0.52,3,5,mixed,0,0,2026-03-26T06:23:10.949479+00:00,7,3,0,69.0,75.0,1068.0,983.0,1.0,0.07999999999999996,27.9,0.0,0.0,74.0,0.4616,moderate
laide,Laide,6.539657,3.392462999999999,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T06:23:14.088994+00:00,7,3,0,59.0,77.0,1183.0,906.0,0.997893,0.23376623376623373,27.9,0.0,0.0,74.0,0.3341038961038961,flowing
olorunsogo,Olorunsogo,6.5351119,3.3525065,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T06:23:16.559657+00:00,7,3,0,31.0,44.0,1118.0,788.0,0.973724,0.2954545454545454,27.8,0.0,0.0,74.0,0.34890909090909095,flowing
bajulaiye,Bajulaiye,6.533379,3.383108,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T06:23:19.067901+00:00,7,3,0,55.0,55.0,663.0,663.0,1.0,0.0,27.9,0.0,0.0,74.0,0.278,flowing
iyana_church,Iyana Church,6.501030000000001,3.38976,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T06:23:21.739271+00:00,7,3,0,59.0,77.0,1183.0,906.0,0.996526,0.23376623376623373,27.9,0.0,0.0,74.0,0.3341038961038961,flowing
lawal,Lawal,6.514756999999999,3.35599,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T06:23:24.172441+00:00,7,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,27.9,0.0,0.0,74.0,0.278,flowing
